no,nama,vote_average,vote_count,type,htm_weekday,htm_weekend,location,description
22,Gunung Api Purba,4.6,2807,alam,15000,,,"Kawasan Ekosistem Gunung Purba Nglanggeran atau yang biasa disebut Gunung Nglanggeran ini merupakan kawasan yang litologinya disusun oleh material vulkanik tua, berbentuk gunung batu raksasa yang membentang sepanjang kurang lebih 800 meter dengan tinggi mencapai 300 meter. di Kawasan Gunung Api Purba Nglanggeran juga dijumpai fauna dan flora langka, seperti tanaman tremas (tanaman obat yang hanya hidup dikawasan ekowisata Gunung Api Purba), kera ekor panjang. "
23,Kids Fun Yogyakarta,4.4,2309,minat khusus(?),65500,,,Kids Fun merupakan wahana atau tempat bermain untuk anak-anak
24,Tebing Breksi,4.4,51431,alam,10000,,,"Tebing Breksi merupakan tempat wisata yang berada di wilayah Kabupaten Sleman. Lokasinya berada di sebelah selatan Candi Prambanan dan berdekatan dengan Candi Ijo serta Kompleks Keraton Boko. tempat ini merupakan perbukitan batuan breksi. dari atas tebing wisatawan dapat melihat keseluruhan kota jogja, bahkan aktivitas masyarakat pun dapat terlihat dari atas tebing, serpeti pesawat yang lepas landas, kendaraan yang hilidr mudik."
25,Taman Pintar Yogyakarta,4.5,4846,minat khusus(?),20000,,,"Taman Pintar Yogyakarta adalah wahana wisata yang terdapat di pusat Kota Yogyakarta, tepatnya di Jalan Panembahan Senopati No. 1-3, Yogyakarta, di kawasan Benteng Vredeburg. Taman ini memadukan tempat wisata rekreasi maupun edukasi dalam satu lokasi. tempat rekreasi ini sangat baik untuk anak-anak dalam masa perkembangan. taman ini, khususnya pada wahana pendidikan anak usia dini dilengkapi dengan teknologi interaktif digital serta pemetaan video yang akan memacu imajinasi anak serta ketertarikan mereka terhadap teknologi"
26,Heha Sky View,4.4,13048,buatan,10000,,,"Salah satu destinasi wisata favorit yang menawarkan pemandangan terbaik kota Yogyakarta dan sekitarnya “dari lantai 2”. Terletak di kawasan perbukitan Gunungkidul, HeHa Sky View hanya berjarak 40 menit dari pusat Kota Yogyakarta. Sky Ballon yang dibuat colorful menjadi salah satu wahana yang wajib dicoba. disini terdapat street food yang beraneka ragam dan dapat dinikmati  sembari duduk dan mengobrol di bean bag ataupun outdoor area. banyak spot foto keren."
27,Pesona Pengklik Pantai Samas,4,987,alam,10000,,,
28,Kampung Pitu,4.1,10,minat khusus,15000,,,
29,Puncak Suroloyo,4.6,576,alam,6000,,,
30,Kawasan Pantai Siung,4.6,965,alam,5000,,,
31,Kawasan Pantai Baron,4.4,1698,alam,10000,,,
32,Goa Kalisuci,4.6,152,,2000,,,
33,Jogja Exotarium,,,,20000,,,"Di Mini Zoo Jogja Exotarium pengunjung dapat menyaksikan aneka satwa seperti reptil, hewan nocturnal, kelinci. Pengunjung dapat pula melakukan aktivitas seperti memancing, belajar berkuda atau memanah. Selain itu terdapat pula berbagai spot selfie, playground anak atau outbound. .Kehadiran Mini  Zoo Jogja Exotarium yang dikemas sebagai taman wisata edukasi diharapkan menjadi wahana pengetahuan tentang satwa atau binatang."
34,Goa Rancang Kencono,4.3,719,,15000,,,
35,Waduk Sermo,4.5,2057,,6000,,,
36,Taman Kaliurang,4.4,5217,,8000,,,
37,Geoforest Watu Payang,4.5,796,,5000,,,
38,Pantai Kuwaru,4.1,1109,,10000,,,Pantai Kuwaru terkenal dengan wisata yang terkesan santai dan murah.
39,Goa Selarong,4.3,2116,,6000,,,"Gua Selarong atau bisa disebut Gua Diponegoro, adalah gua bersejarah sekaligus tempat wisata alam dan religius. Goa Selarong merupakan sebuah goa kecil yang berada di Dusun Kembangputihan, Kecamatan Pajangan, Bantul. Lokasinya cukup mudah dijangkau karena tak jauh dari Kota Bantul, DIY. Di Goa Selarong, terdapat dua goa, yaitu Goa Kakung dan Goa P Sekilas, tak ada tampilan yang menarik secara visual dari kedua goa tersebut. Namun, goa itu menyimpan peristiwa besar yang menjadi bagian dari sejarah bangsa Indonesia. Terutama kisah kepahlawanan Pangeran Diponegoro yang menjadi tokoh besar saat meletusnya Perang Jawa pada 1825-1830.utri."
40,Museum Wayang Kekayon,4.2,504,sejarah,20000,,,"Museum Wayang Kekayon ini didirikan oleh almarhum Prof. DR. dr. KPH. Soejono Prawirohadikusumo (Guru besar UGM sekaligus dokter ahli saraf jiwa) dan diresmikan oleh KGPAA Paku Alam VIII pada tahun 1991. Museum ini mengoleksi berbagai jenis wayang yang ada di Indonesia. Selain sebagai tujuan wisata seni budaya, museum ini juga memiliki fungsi pendidikan, wahana penelitian, dan rekreasi. Wayang merupakan kekayaan luhur budaya bangsa Indonesia yan Museum ini juga nyaman dan asri dengan taman parkir luas serta pendapa megah untuk perayaan pernikahan, pameran, pertemuan, sarasehan, dan lain-lain.g patut kita banggakan. Terbukti atas pengakuan UNESCO atas wayang sebagai warisan pusaka dunia."
